LA Code,LA Name,Sum of number of NHS-funded occupants
E09000002,Barking and Dagenham,51.18681319
E09000003,Barnet,59.78021978
E08000016,Barnsley,37.73626374
E06000022,Bath and North East Somerset,38
E06000055,Bedford,0
E09000004,Bexley,32.50549451
E08000025,Birmingham,274.2417582
E06000008,Blackburn with Darwen,26.9010989
E06000009,Blackpool,46.51648352
E08000001,Bolton,92.84615385
E06000028,Bournemouth,0
E06000036,Bracknell Forest,14.38461538
E08000032,Bradford,89.85714286
E09000005,Brent,20.36263736
E06000043,Brighton and Hove,72.67032967
E06000023,"Bristol, City of",57.53846154
E09000006,Bromley,47.63736264
E10000002,Buckinghamshire,70.61538462
E08000002,Bury,36
E08000033,Calderdale,57.91208791
E10000003,Cambridgeshire,28.76923077
E09000007,Camden,38
E06000056,Central Bedfordshire,93.03296703
E06000049,Cheshire East,81.63736264
E06000050,Cheshire West and Chester,63.51648352
E08000026,Coventry,95.83516484
E09000008,Croydon,104.0549451
E10000006,Cumbria,105.9230769
E06000005,Darlington,24.0989011
E06000015,Derby,73.79120879
E10000007,Derbyshire,102
E10000008,Devon,311.4175824
E08000017,Doncaster,86.86813187
E10000009,Dorset,182.8901099
E08000027,Dudley,37.54945055
E06000047,County Durham,121.0549451
E09000009,Ealing,65.38461538
E06000011,East Riding of Yorkshire,68.93406593
E10000011,East Sussex,74.35164835
E09000010,Enfield,46.32967033
E10000012,Essex,221.2857143
E08000020,Gateshead,119.9340659
E10000013,Gloucestershire,139.7362637
E09000011,Greenwich,28.02197802
E09000012,Hackney,0
E06000006,Halton,33.06593407
E09000013,Hammersmith and Fulham,41.84615385
E10000014,Hampshire,217.4505495
E09000014,Haringey,39.04395604
E09000015,Harrow,31.38461538
E06000001,Hartlepool,46.51648352
E09000016,Havering,84.06593407
E06000019,"Herefordshire, County of",29.32967033
E10000015,Hertfordshire,184.7582418
E09000017,Hillingdon,31.94505495
E09000018,Hounslow,45.02197802
E06000046,Isle of Wight,32.69230769
E09000019,Islington,31.01098901
E09000020,Kensington and Chelsea,57.91208791
E10000016,Kent,363.5384615
E06000010,"Kingston upon Hull, City of",112.4615385
E09000021,Kingston upon Thames,46.14285714
E08000034,Kirklees,111.7142857
E08000011,Knowsley,34.74725275
E09000022,Lambeth,47.45054945
E10000017,Lancashire,268.8241758
E08000035,Leeds,179.3406593
E06000016,Leicester,87.61538462
E10000018,Leicestershire,90.23076923
E09000023,Lewisham,32.87912088
E10000019,Lincolnshire,229.5934066
E08000012,Liverpool,104.0549451
E06000032,Luton,22.04395604
E08000003,Manchester,101.6263736
E06000035,Medway,70.98901099
E09000024,Merton,64.63736264
E06000002,Middlesbrough,46.89010989
E06000042,Milton Keynes,30.07692308
E08000021,Newcastle upon Tyne,87.05494505
E09000025,Newham,40.35164835
E10000020,Norfolk,278.1648352
E06000012,North East Lincolnshire,40.53846154
E06000013,North Lincolnshire,30.63736264
E06000024,North Somerset,39.79120879
E08000022,North Tyneside,53.8021978
E10000023,North Yorkshire,64.63736264
E10000021,Northamptonshire,98.82417582
E06000048,Northumberland,134.6923077
E06000018,Nottingham,50.81318681
E10000024,Nottinghamshire,125.1648352
E08000004,Oldham,20.73626374
E10000025,Oxfordshire,45.20879121
E06000031,Peterborough,146.4615385
E06000026,Plymouth,0
E06000029,Poole,0
E06000044,Portsmouth,43.71428571
E06000038,Reading,5.043956044
E09000026,Redbridge,67.43956044
E06000003,Redcar and Cleveland,0
E09000027,Richmond upon Thames,87.05494505
E08000005,Rochdale,30.07692308
E08000018,Rotherham,53.8021978
E06000017,Rutland,85.18681319
E08000006,Salford,164.2087912
E08000028,Sandwell,0
E08000014,Sefton,69.12087912
E08000019,Sheffield,118.6263736
E06000051,Shropshire,63.89010989
E06000039,Slough,11.76923077
E08000029,Solihull,69.30769231
E10000027,Somerset,176.3516484
E06000025,South Gloucestershire,36.42857143
E08000023,South Tyneside,129.4615385
E06000045,Southampton,28.20879121
E06000033,Southend-on-Sea,158.7912088
E09000028,Southwark,28.20879121
E08000013,St. Helens,102
E10000028,Staffordshire,194.0989011
E08000007,Stockport,31.1978022
E06000004,Stockton-on-Tees,0
E06000021,Stoke-on-Trent,57.91208791
E10000029,Suffolk,129.6483516
E08000024,Sunderland,214.2747253
E10000030,Surrey,220.0659341
E09000029,Sutton,59.40659341
E06000030,Swindon,30.45054945
E08000008,Tameside,72.2967033
E06000020,Telford and Wrekin,14.01098901
E06000034,Thurrock,34.18681319
E06000027,Torbay,89.67032967
E09000030,Tower Hamlets,21.2967033
E08000009,Trafford,25.59340659
E08000036,Wakefield,56.6043956
E08000030,Walsall,71.54945055
E09000031,Waltham Forest,53.61538462
E09000032,Wandsworth,100.1318681
E06000007,Warrington,54.36263736
E10000031,Warwickshire,122.3626374
E06000037,West Berkshire,13.63736264
E10000032,West Sussex,135.4395604
E08000010,Wigan,111.1538462
E06000054,Wiltshire,42.40659341
E06000040,Windsor and Maidenhead,18.12087912
E08000015,Wirral,38.10989011
E06000041,Wokingham,7.659340659
E08000031,Wolverhampton,83.87912088
E10000034,Worcestershire,100.5054945
E06000014,York,53.8021978
E09000033/E09000001,"Westminster,City of London",69.68131868
E06000052/E06000053,"Cornwall,Isles of Scilly",178.032967
