ONS.LA.Code,ONS.LA.Name,CQC.HSCA.LocationID.Count,CQC.HSCA.CareHomeBeds.Sum,CQCRatings.Rat.New.2.Overall.Good.Beds,CQCRatings.Rat.New.2.Overall.ImprovementsReqd.Beds,CQCRatings.Rat.New.2.Overall.Inqdequate.Beds,CQCRatings.Rat.New.2.Overall.NoActionReqd.Beds,CQCRatings.Rat.New.2.Overall.NotAvail.Beds,CQCRatings.Rat.New.2.Overall.NotSufficEvidence.Beds,CQCRatings.Rat.New.2.Overall.Outstanding.Beds,CQCRatings.Rat.New.2.Overall.ReqImprovement.Beds,CQCRatings.Rat.New.2.Overall.NA.Beds,ONS.Population16.64.000s,ONS.Employment16.000s,ONS.EmploymentRate16.64,ONS.Unemployment16.000s,ONS.UnemploymentRate,ONS.EconomicInactivity16.64.000s,ONS.EconomicInactivityRate16.64,ONS.JobseekersAllowanceLevel,ONS.JobseekersAllowanceProportion,ONS.LabourDemandJobs000s,ONS.LabourDemandJobsDensity16.64
E09000002,Barking and Dagenham,14,654,195,0,44,0,0,0,0,122,293,125,84,66.8,10,10.4,30,24.6,3731,3,54,0.44
E09000003,Barnet,59,2466,664,0,98,0,0,0,0,538,1166,244,168,66.9,12,6.6,66,27.5,3915,1.6,159,0.66
E08000016,Barnsley,50,2106,349,0,107,0,0,0,0,410,1240,150,111,73.3,7,6.4,33,21.9,3998,2.7,85,0.57
E06000022,Bath and North East Somerset,43,1556,229,0,0,0,0,0,0,719,608,117,90,75.3,3,3.7,24,21.3,933,0.8,99,0.85
E06000055,Bedford,42,1279,751,0,0,0,0,0,0,88,440,103,80,77.8,5,6.1,18,18.4,2353,2.3,80,0.78
E09000004,Bexley,22,1144,16,0,80,0,131,0,0,367,550,151,111,73.6,8,6.8,31,21.1,2324,1.5,80,0.54
E08000025,Birmingham,176,5658,1344,0,55,0,0,0,0,1838,2421,705,439,60.9,49,10,228,32.4,31904,4.5,540,0.77
E06000008,Blackburn with Darwen,26,932,498,0,0,0,0,0,0,189,245,92,62,65.6,5,7.3,27,29.1,2384,2.6,71,0.77
E06000009,Blackpool,61,1503,459,0,99,25,0,0,0,115,805,87,59,66.6,5,7.8,24,28.1,3195,3.7,64,0.72
E08000001,Bolton,42,1687,703,0,32,0,0,0,0,254,698,175,128,70.1,8,6.2,45,25.3,4392,2.5,118,0.67
E06000028,Bournemouth,71,2169,529,0,46,52,0,0,0,288,1254,126,94,72.6,5,4.7,31,24.4,1964,1.6,92,0.74
E06000036,Bracknell Forest,14,431,72,0,87,0,0,0,0,0,272,77,63,81.3,2,3.6,12,16.2,680,0.9,66,0.86
E08000032,Bradford,113,4075,796,0,423,0,0,0,0,831,2025,329,224,64.9,21,8.7,93,28.4,12449,3.8,221,0.67
E09000005,Brent,41,1119,286,0,0,0,0,0,0,92,741,219,163,71.6,11,6.4,53,23.9,6061,2.8,125,0.58
E06000043,Brighton and Hove,69,1870,528,0,17,0,0,0,0,551,774,198,144,71.9,9,5.8,46,23.5,3447,1.7,155,0.79
E06000023,"Bristol, City of",63,2401,799,0,32,8,0,0,0,1056,506,301,231,75.7,13,5.5,59,20,6279,2.1,278,0.93
E09000006,Bromley,47,1574,533,0,84,0,0,0,0,439,518,201,155,74.3,9,5.4,43,21.4,2648,1.3,129,0.65
E10000002,Buckinghamshire,86,3829,840,0,60,0,60,0,0,521,2348,322,259,78.1,11,4.2,57,17.9,2983,0.9,254,0.79
E08000002,Bury,36,1513,391,0,0,0,31,0,0,421,670,117,86,70.9,6,6.2,28,23.7,2243,1.9,75,0.64
E08000033,Calderdale,44,1481,301,0,176,0,0,0,0,352,652,131,102,76.4,6,5.7,25,19.5,3393,2.6,102,0.78
E10000003,Cambridgeshire,91,3901,1744,0,129,0,0,0,0,1015,1013,409,339,79.9,12,3.3,72,17.6,3443,0.8,340,0.84
E09000007,Camden,11,442,260,0,0,0,0,0,0,114,68,167,113,65.4,8,6.3,52,31.3,2968,1.8,355,2.15
E06000056,Central Bedfordshire,33,1232,288,0,60,0,0,0,0,199,685,171,137,78.2,5,3.7,32,18.7,1692,1,111,0.65
E06000049,Cheshire East,89,3705,852,80,27,0,0,0,0,289,2457,228,185,75.8,7,3.7,51,22.2,2367,1,202,0.88
E06000050,Cheshire West and Chester,69,2769,790,70,76,0,0,0,0,606,1227,206,156,72.9,7,4.3,51,24.7,2568,1.2,173,0.84
E09000001,City of London,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,49.7,#,#,2,50.3,71,1.2,465,81.79
E06000052,Cornwall,155,4642,1610,0,37,0,10,0,34,955,1996,324,259,75.9,11,4.2,68,21.1,4428,1.4,258,0.8
E06000047,County Durham,110,4869,2006,0,119,0,36,0,53,716,1939,328,229,68.1,16,6.6,87,26.8,7986,2.4,189,0.57
E08000026,Coventry,59,1917,656,0,97,0,0,0,0,556,608,222,145,66.1,10,6.7,63,29.5,5198,2.3,168,0.78
E09000008,Croydon,67,2132,1136,0,0,22,0,0,0,371,603,245,186,73.2,13,6.4,53,21.9,5109,2.1,130,0.53
E10000006,Cumbria,166,5419,1708,0,321,0,0,0,0,638,2752,303,240,76.3,11,4.3,60,19.7,4638,1.5,267,0.87
E06000005,Darlington,28,1240,442,0,67,62,0,0,0,58,611,65,49,72.2,4,7,15,22.5,2052,3.2,54,0.83
E06000015,Derby,59,2005,291,0,0,0,0,0,0,545,1169,160,120,73.3,8,5.9,33,20.5,3503,2.2,135,0.84
E10000007,Derbyshire,198,6831,974,0,60,0,0,0,0,1263,4534,485,379,74.4,17,4.2,108,22.4,7339,1.5,333,0.69
E10000008,Devon,267,7614,2050,0,258,70,0,0,0,1737,3499,454,373,77.4,13,3.3,91,20.1,4144,0.9,379,0.84
E08000017,Doncaster,58,2202,742,0,78,0,0,0,0,375,1007,191,135,68.5,12,8.4,45,23.7,6259,3.3,126,0.66
E10000009,Dorset,138,4301,290,0,93,0,0,0,24,589,3305,236,195,78.8,7,3.2,42,17.9,1989,0.8,195,0.82
E08000027,Dudley,76,2259,17,0,0,0,0,0,0,887,1355,193,143,72.2,11,6.9,42,22.1,5919,3.1,123,0.63
E09000009,Ealing,33,1365,525,0,26,28,0,0,0,289,497,230,176,72.4,13,6.9,52,22.3,5428,2.4,152,0.65
E06000011,East Riding of Yorkshire,107,3988,1318,0,64,0,0,0,0,391,2215,201,160,76.4,8,4.7,40,19.9,3530,1.8,131,0.65
E10000011,East Sussex,227,7260,1127,55,523,0,0,0,0,1778,3777,314,244,74.1,14,5.4,68,22,5154,1.6,222,0.71
E09000010,Enfield,53,1645,717,0,0,0,43,20,0,360,505,210,154,72.7,12,7,49,23.5,5518,2.6,119,0.57
E10000012,Essex,273,11436,3432,0,539,0,37,0,33,2327,5068,880,697,76.2,35,4.7,172,19.7,13284,1.5,649,0.74
E08000020,Gateshead,49,2051,553,0,64,20,0,0,0,353,1061,127,96,73.6,7,7.2,26,20.3,3901,3.1,96,0.75
E10000013,Gloucestershire,154,5329,1338,0,66,109,0,0,44,1296,2476,378,309,78.7,14,4.4,64,17.2,4852,1.3,322,0.85
E09000011,Greenwich,24,1086,99,0,0,0,0,0,78,547,362,182,131,71.7,12,8.2,37,20.7,4419,2.4,86,0.48
E09000012,Hackney,11,306,43,0,0,0,0,0,0,121,142,190,132,69,10,7.3,48,25.6,5846,3.1,125,0.67
E06000006,Halton,21,746,372,0,0,0,0,0,0,26,348,80,59,72.1,4,6,19,23.4,2049,2.6,57,0.71
E09000013,Hammersmith and Fulham,5,404,241,0,0,0,0,0,0,92,71,129,105,78.8,6,5.7,23,18.1,2959,2.3,141,1.08
E10000014,Hampshire,309,11412,2257,0,370,54,0,0,7,2218,6506,823,704,81.4,30,3.8,129,15.8,7210,0.9,686,0.83
E09000014,Haringey,21,471,144,0,0,0,0,0,0,110,217,189,135,70.5,10,7.1,46,24.7,5750,3,84,0.45
E09000015,Harrow,36,927,426,0,45,0,0,0,0,95,361,159,123,73.9,6,4.8,37,22.9,2306,1.4,79,0.5
E06000001,Hartlepool,19,844,175,0,89,0,0,0,0,215,365,58,38,64.2,4,10.4,16,27.1,2478,4.3,32,0.55
E09000016,Havering,47,1568,951,0,0,0,0,0,0,240,377,153,119,76.7,9,7,26,17.4,2790,1.8,91,0.6
E06000019,"Herefordshire, County of",54,1741,345,0,0,0,0,0,0,78,1318,112,91,77.6,3,3.3,22,20.1,1068,1,100,0.89
E10000015,Hertfordshire,183,8335,2468,0,161,0,0,0,0,2122,3584,730,587,78.2,26,4.3,130,18.1,9326,1.3,624,0.86
E09000017,Hillingdon,29,1188,321,0,0,0,0,0,0,462,405,192,146,74.5,9,6,40,20.7,2844,1.5,213,1.13
E09000018,Hounslow,17,802,122,0,58,64,0,0,0,352,206,180,136,72.5,9,5.9,40,22,3259,1.8,167,0.93
E06000046,Isle of Wight,72,2019,277,0,155,0,0,0,0,445,1142,81,60,70.9,4,6.4,19,23.6,1669,2.1,61,0.75
E06000053,Isles of Scilly,1,14,14,0,0,0,0,0,0,0,0,1,#,#,#,#,#,#,4,0.3,1,0.86
E09000019,Islington,10,493,308,0,0,0,0,0,64,82,39,166,115,69.6,9,7.2,42,25.9,4165,2.5,221,1.36
E09000020,Kensington and Chelsea,10,401,10,0,0,26,0,0,0,109,256,109,79,69.7,5,5.5,28,26.2,1822,1.7,142,1.29
E10000016,Kent,362,12622,2305,0,426,40,0,0,13,2626,7212,926,701,73.1,41,5.5,208,22.8,15368,1.7,685,0.74
E06000010,"Kingston upon Hull, City of",66,2338,572,0,81,0,30,0,0,633,1022,170,110,64.2,13,10.5,48,28.7,8446,5,128,0.75
E09000021,Kingston upon Thames,32,1028,258,0,73,0,0,0,0,226,471,114,87,75.4,5,5,23,20.9,1267,1.1,81,0.72
E08000034,Kirklees,77,3012,409,0,247,0,32,0,0,716,1608,272,197,70.5,14,6.5,66,24.4,7153,2.6,168,0.62
E08000011,Knowsley,21,992,467,0,0,0,0,0,0,104,421,94,62,66.2,5,7.9,26,28.2,2724,2.9,64,0.69
E09000022,Lambeth,21,788,155,0,0,93,0,0,0,272,268,237,190,78.6,13,6.6,36,15.3,6923,2.9,169,0.72
E10000017,Lancashire,342,11457,3105,0,268,44,0,0,0,2271,5769,736,541,71.5,28,4.9,187,25.5,11090,1.5,565,0.77
E08000035,Leeds,112,4762,447,0,155,62,0,0,0,2327,1771,505,383,73.1,27,6.7,110,21.7,15132,3,455,0.9
E06000016,Leicester,78,2347,536,0,0,0,0,0,0,716,1095,226,148,64.1,12,7.7,67,29.7,6459,2.9,178,0.79
E10000018,Leicestershire,124,4289,1154,0,40,0,0,0,0,1307,1788,419,325,75.6,13,3.7,87,20.9,4259,1,311,0.75
E09000023,Lewisham,28,786,245,0,15,0,0,0,0,223,303,204,152,74.4,10,6.3,44,21.8,5853,2.9,82,0.41
E10000019,Lincolnshire,208,7414,1965,0,171,0,0,0,0,1555,3723,443,346,74.8,18,4.9,94,21.5,8390,1.9,319,0.72
E08000012,Liverpool,71,3393,238,0,325,0,0,0,0,520,2310,324,198,59.7,22,10.2,107,33.2,11084,3.4,253,0.78
E06000032,Luton,23,1031,422,0,0,0,0,0,0,311,298,136,95,68,6,6,38,27.5,3122,2.3,94,0.7
E08000003,Manchester,65,2453,324,0,204,41,0,0,0,623,1261,367,229,61.5,20,8.1,121,32.9,9975,2.7,382,1.05
E06000035,Medway,39,1369,440,0,78,0,0,0,112,276,463,177,127,71.1,10,7.6,39,22.3,4007,2.3,98,0.56
E09000024,Merton,21,830,335,0,0,43,0,0,0,321,131,138,109,76.9,6,5.5,26,18.6,2370,1.7,96,0.7
E06000002,Middlesbrough,34,1622,508,0,0,23,0,0,0,312,779,89,57,62.6,7,10.7,26,29.2,4182,4.7,66,0.74
E06000042,Milton Keynes,24,1188,853,0,32,0,0,0,0,88,215,168,130,76.1,8,5.8,32,19.3,3037,1.8,172,1.03
E08000021,Newcastle upon Tyne,59,2486,770,0,0,0,0,0,0,457,1259,198,129,65.4,12,8.6,53,27.4,5537,2.8,190,0.96
E09000025,Newham,12,589,97,0,0,0,0,0,0,280,212,227,153,66.2,13,7.8,63,27.5,5927,2.6,104,0.47
E10000020,Norfolk,240,8460,1956,0,126,0,24,0,0,1925,4429,525,406,74.2,21,4.9,113,21.7,8380,1.6,403,0.77
E06000012,North East Lincolnshire,40,1543,417,63,56,0,12,0,0,326,669,99,71,69.4,7,8.6,24,23.9,3973,4,70,0.71
E06000013,North Lincolnshire,41,1610,528,0,0,0,0,0,0,304,778,105,80,73.5,5,5.6,24,23,2719,2.6,75,0.71
E06000024,North Somerset,84,2850,277,0,27,82,108,0,0,885,1471,123,98,79.1,4,4.1,22,18.1,1377,1.1,87,0.71
E08000022,North Tyneside,37,1562,277,0,0,0,0,0,0,534,751,128,97,74.5,7,6.3,27,20.7,3341,2.6,77,0.6
E10000023,North Yorkshire,158,5880,1453,0,200,56,0,0,74,1169,2928,362,298,78.7,11,3.4,67,18.6,3859,1.1,324,0.88
E10000021,Northamptonshire,147,5423,2332,0,0,0,0,0,0,1231,1860,449,363,79.4,17,4.5,77,17.5,7802,1.7,367,0.82
E06000048,Northumberland,93,3291,942,0,0,0,0,0,0,831,1518,192,146,73,9,6.1,44,22.9,4930,2.6,121,0.63
E06000018,Nottingham,53,1743,448,0,0,0,0,0,0,638,657,219,142,64.7,13,8.4,64,29.8,8770,4,225,1.04
E10000024,Nottinghamshire,193,7649,1790,49,68,0,0,0,0,1626,4116,499,376,73.6,20,5.1,109,22.1,9173,1.8,312,0.63
E08000004,Oldham,43,1771,85,38,0,0,0,0,0,235,1413,141,94,64.3,7,7.1,41,28.9,2796,2,88,0.62
E10000025,Oxfordshire,105,4638,1622,0,0,0,0,0,0,1471,1545,431,349,76.6,11,3.2,86,20.4,2923,0.7,399,0.93
E06000031,Peterborough,20,1125,584,0,0,0,0,0,0,298,243,121,93,74.1,6,6.6,25,20.6,2690,2.2,108,0.9
E06000026,Plymouth,65,2251,885,0,0,0,0,0,66,480,820,170,125,73.4,8,6.3,35,21.1,3445,2,129,0.76
E06000029,Poole,34,1368,184,0,149,7,0,0,0,227,801,91,73,76.9,3,4.1,18,19.2,1023,1.1,89,0.98
E06000044,Portsmouth,29,976,113,0,135,0,60,0,0,280,388,141,100,69.7,7,6.4,36,26,2690,1.9,123,0.88
E06000038,Reading,22,734,132,0,0,0,0,0,0,20,582,109,82,72.7,4,5.1,25,23.6,1647,1.5,109,1
E09000026,Redbridge,28,1184,408,0,32,0,0,0,0,266,478,191,132,67.5,10,7.3,49,26,3480,1.8,84,0.45
E06000003,Redcar and Cleveland,41,1213,447,0,0,0,0,0,0,161,605,82,58,68.4,5,8.3,21,25.4,3336,4.1,46,0.56
E09000027,Richmond upon Thames,18,773,449,0,0,60,0,0,0,133,131,125,101,79,5,4.6,21,17,1351,1.1,95,0.76
E08000005,Rochdale,45,1565,448,0,63,0,27,0,0,537,490,134,87,63.3,7,7,42,31.6,3005,2.2,78,0.58
E08000018,Rotherham,43,1998,859,0,0,0,77,0,0,309,753,161,114,69.5,9,7.6,40,24.8,5189,3.2,102,0.63
E06000017,Rutland,10,319,100,0,0,0,0,0,0,101,118,23,17,79.8,~,2.8,3,17.6,159,0.7,19,0.83
E08000006,Salford,35,1486,329,0,29,50,0,0,0,643,435,159,115,71.8,8,6.9,34,21.7,3713,2.3,129,0.82
E08000028,Sandwell,46,1822,430,0,36,0,0,0,0,689,667,199,127,63.3,13,9.6,57,29.1,7828,3.9,131,0.66
E08000014,Sefton,96,3122,789,0,0,0,0,0,0,737,1596,166,127,73.7,7,5.3,39,23.7,3659,2.2,103,0.62
