"HSCIC.2.2NumerTotalCostResiAndNursing","HSCIC.2.2DenomTotalWeeksSupportedResiAndNursing","HSCIC.2.2UnitCostWeeklySpendPerPersonResiAndNursing","HSCIC.2.2ANumerTotalCostResiNursingLessIncome","HSCIC.2.2ADenomTotalWeeksSupportedResiNursingExcS256","HSCIC.2.2AUnitCostWeeklySpendPerPersonResiNursingExcS256","HSCIC.2.3NumerTotalCostNursing","HSCIC.2.3DenomTotalWeeksSupportedNursing","HSCIC.2.3UnitCostWeeklySpendPerPersonNursing","HSCIC.2.4NumerTotalCostResi","HSCIC.2.4DenomTotalWeeksSupportedResi","HSCIC.2.4UnitCostWeeklySpendPerPersonResi","HSCIC.2.5NumerTotalCostResiOwnProvision","HSCIC.2.5DenomTotalWeeksSupportedResiOwnProvision","HSCIC.2.5UnitCostWeeklySpendPerPersonResiOwnProvision","HSCIC.2.6NumerTotalCostResiProvidedByOthers","HSCIC.2.6DenomTotalWeeksSupportedResiProvidedByOthers","HSCIC.2.6UnitCostWeeklySpendPerPersonResiProvidedByOthers","HSCIC.2.26NumerTotalCostHomeCare","HSCIC.2.26DenomOlderPeopleReceivingHomeCare","HSCIC.2.26UnitCostWeeklySpendPerPersonHomeCare","HSCIC.2.44NumerTotalCostDayCare","HSCIC.2.44DenomAvgClientsPerWeekDayCare","HSCIC.2.44UnitCostWeeklySpendPerPersonDayCare","HSCIC.2.31NumerTotalCostDirectPayments","HSCIC.2.31DenomOlderPeopleReceivingDirectPayments","HSCIC.2.31UnitCostWeeklySpendPerPersonDirectPayments","HSCIC.2.34ANumerTotalCostDayCare","HSCIC.2.34ADenomAvgClientsPerWeekDayCare","HSCIC.2.34AUnitCostWeeklySpendPerPersonDayCare","HSCIC.2.35NumerTotalCostDayCareOwnProvision","HSCIC.2.35DenomAvgClientsPerWeekDayCareOwnProvision","HSCIC.2.35UnitCostWeeklySpendPerPersonDayCareOwnProvision","HSCIC.2.36NumerTotalCostDayCareProvidedByOthers","HSCIC.2.36DenomTotalCostDayCareProvidedByOthers","HSCIC.2.36UnitCostWeeklySpendPerPersonDayCareProvidedByOthers","HSCIC.2.56NumerTotalCostProvidingMeals","HSCIC.2.56DenomNumberReceivingMeals","HSCIC.2.56AvgWeeklySpendPerPersonMeals","HSCICMaster$HSCIC.Year","HSCICMaster$ONS.LA.Code","HSCICMaster$ONS.LA.Name"
66349,130650,507.8,66349,130338,509.1,15414,30420,506.7,50935,100230,508.2,24686,41964,588.3,26249,58266,450.5,24981,2900,165.8,8612,2165,76.5,2532,1420,34.3,3002,1080,53.4,1213,510,45.7,1789,570,60.1,499,570,16.9,"2011-12","E10000006","Cumbria"
40653,84791,479.4,39676,84791,467.9,8182,18223,449,32471,66568,487.8,1953,906,2155.6,30518,65662,464.8,15510,1805,165.4,2795,410,130.8,1087,190,110,2669,540,95.2,780,60,250,1889,480,75.8,235,60,76.6,"2011-12","E06000048","Northumberland"
25707,50135,512.8,25413,50135,506.9,5637,12158,463.6,20070,37977,528.5,3541,3677,963,16529,34300,481.9,12988,935,266.8,3185,365,167.8,615,110,109.5,359,160,43.1,323,75,82.8,36,85,8.1,410,225,35,"2011-12","E08000020","Gateshead"
35887,64893,553,31626,63313,499.5,10756,22746,472.9,25131,42147,596.3,5022,2219,2263,20110,39928,503.7,16594,1695,188.5,6337,715,170.9,1568,220,136.4,2215,450,94.7,495,95,98.2,1720,355,93.7,418,190,42.3,"2011-12","E08000021","Newcastle upon Tyne"
23859,43173,552.6,19920,43173,461.4,6846,12210,560.7,17013,30963,549.5,3008,2800,1074.3,14005,28163,497.3,9385,1080,167.4,3858,315,234.8,554,60,177.6,818,310,50.7,190,40,93.7,628,270,44.6,0,0,NA,"2011-12","E08000022","North Tyneside"
23438,44032,532.3,18927,43927,430.9,7187,13028,551.7,16251,31004,524.1,2656,2624,1012.3,13594,28380,479,8580,1100,150.3,3274,370,171.1,819,125,125.9,1092,430,49.1,999,290,66.5,93,140,12.8,40,20,35.4,"2011-12","E08000023","South Tyneside"
29711,62824,472.9,26557,62824,422.7,7089,15872,446.6,22622,46952,481.8,1599,2383,671,21023,44569,471.7,13064,1575,159.4,3761,855,84.8,1400,455,59,1286,330,74.7,207,55,71.1,1079,275,75.5,179,0,NA,"2011-12","E08000024","Sunderland"
12411,30324,409.3,12010,29846,402.4,2142,5517,388.2,10269,24807,414,0,0,NA,10269,24807,414,4397,540,157.2,4481,375,228.6,937,95,187.7,592,195,57.8,176,40,82.6,416,155,51.3,0,0,NA,"2011-12","E06000001","Hartlepool"
18774,40210,466.9,17652,40106,440.1,3619,7928,456.5,15155,32282,469.5,1041,837,1243.7,14114,31445,448.8,3564,760,90.3,5858,570,197.6,1850,185,194.4,1093,270,78.1,1070,255,80.1,23,10,36.9,0,0,NA,"2011-12","E06000002","Middlesbrough"
14798,40348,366.8,14441,40348,357.9,3275,9392,348.7,11523,30956,372.2,1108,0,NA,10415,30956,336.4,8609,885,186.9,5685,605,181.3,1085,205,102.3,586,200,56.6,350,145,46.4,236,55,84,0,10,0,"2011-12","E06000003","Redcar and Cleveland"
21565,45599,472.9,21192,45443,466.3,4721,10394,454.2,16844,35205,478.4,1575,777,2026.8,15269,34428,443.5,5807,795,140.6,4006,445,172.7,1167,150,150.6,1057,180,114.2,1057,180,114.2,0,0,NA,0,0,NA,"2011-12","E06000004","Stockton-on-Tees"
73297,141795,516.9,73285,141795,516.8,14703,30577,480.9,58594,111218,526.8,6803,6021,1129.9,51791,105197,492.3,24522,3355,140.6,12485,1295,185.7,4434,560,152.8,5601,940,114.6,1764,240,141.4,3836,700,105.4,0,0,NA,"2011-12","E06000047","County Durham"
13215,30435,434.2,12785,30383,420.8,2317,5126,452,10898,25309,430.6,0,0,NA,10898,25309,430.6,4098,535,146.8,3736,320,225.2,682,70,182.2,542,110,95.6,78,15,115.4,464,95,92.9,12,25,8.5,"2011-12","E06000005","Darlington"
22974,58796,390.7,22950,58796,390.3,3379,9278,364.2,19595,49518,395.7,0,0,NA,19595,49518,395.7,10768,1180,175.3,4095,360,217.5,1367,125,207,1163,280,80.2,757,15,970.5,406,265,29.6,0,0,NA,"2011-12","E08000016","Barnsley"
36393,75828,479.9,33225,73818,450.1,6254,14622,427.7,30139,61206,492.4,10219,13353,765.3,19921,47853,416.3,12375,1585,150.1,4667,440,203.1,1011,110,180.1,2493,440,108.5,1895,330,110.1,599,110,103.7,0,0,NA,"2011-12","E08000017","Doncaster"
32652,62598,521.6,31701,62598,506.4,5630,12058,466.9,27022,50540,534.7,7257,4745,1529.4,19765,45795,431.6,13174,1315,193,4364,655,128.5,1101,185,114.4,2015,330,116.7,2015,330,116.7,0,0,NA,0,0,NA,"2011-12","E08000018","Rotherham"
45581,92268,494,42858,92268,464.5,11682,26736,436.9,33899,65532,517.3,3423,3862,886.3,30476,61670,494.2,30982,2915,204.5,19907,1765,216.7,5610,650,165.5,967,550,33.9,282,90,59.6,685,460,28.8,0,0,NA,"2011-12","E08000019","Sheffield"
