ONS.LA.Code,ONS.LA.Name,65_74_Nursing,75_84_Nursing,85_pl_Nursing,65_74_Res,75_84_Res,85_pl_Res
E06000001,Hartlepool,20,50,40,25,95,175
E06000002,Middlesbrough,30,65,70,85,190,290
E06000003,Redcar and Cleveland,35,60,60,70,185,320
E06000004,Stockton-on-Tees,40,70,80,80,195,295
E06000005,Darlington,20,50,45,50,155,250
E06000006,Halton,20,50,35,30,80,120
E06000007,Warrington,40,135,155,45,85,190
E06000008,Blackburn with Darwen,15,30,35,65,150,270
E06000009,Blackpool,25,45,70,105,225,355
E06000010,"Kingston upon Hull, City of",10,15,15,175,355,580
E06000011,East Riding of Yorkshire,20,50,65,185,385,750
E06000012,North East Lincolnshire,10,15,5,70,210,315
E06000013,North Lincolnshire,25,20,20,75,175,355
E06000014,York,25,90,135,35,115,215
E06000015,Derby,55,115,150,65,150,275
E06000016,Leicester,25,50,60,160,210,390
E06000017,Rutland,0,5,20,5,20,60
E06000018,Nottingham,30,85,110,145,220,410
E06000019,"Herefordshire, County of",25,85,160,50,85,215
E06000020,Telford and Wrekin,30,50,80,55,95,155
E06000021,Stoke-on-Trent,55,145,185,110,210,365
E06000022,Bath and North East Somerset,55,110,225,25,65,165
E06000023,"Bristol, City of",100,185,325,125,155,300
E06000024,North Somerset,40,115,135,100,165,320
E06000025,South Gloucestershire,45,120,190,70,110,210
E06000026,Plymouth,25,45,50,110,195,360
E06000027,Torbay,15,15,35,90,125,240
E06000028,Bournemouth,25,35,65,55,190,325
E06000029,Poole,10,25,40,25,115,180
E06000030,Swindon,25,65,95,40,105,175
E06000031,Peterborough,10,30,40,25,60,145
E06000032,Luton,30,45,45,55,105,155
E06000033,Southend-on-Sea,5,0,0,75,160,350
E06000034,Thurrock,5,5,10,45,85,195
E06000035,Medway,25,65,105,70,115,210
E06000036,Bracknell Forest,15,50,65,10,25,80
E06000037,West Berkshire,20,35,80,25,65,120
E06000038,Reading,15,50,75,35,60,70
E06000039,Slough,10,55,60,20,25,45
E06000040,Windsor and Maidenhead,15,55,85,25,40,85
E06000041,Wokingham,15,55,75,20,30,95
E06000042,Milton Keynes,25,60,85,25,100,200
E06000043,Brighton and Hove,40,110,215,125,160,270
E06000044,Portsmouth,25,65,100,55,85,170
E06000045,Southampton,45,105,145,75,135,195
E06000046,Isle of Wight,20,35,95,80,160,345
E06000048,Northumberland,35,90,125,130,265,510
E06000049,Cheshire East,75,180,305,60,160,335
E06000050,Cheshire West and Chester,85,190,250,65,155,350
E06000051,Shropshire,65,155,255,95,205,370
E06000052/E06000053,"Cornwall,Isles of Scilly",60,160,235,145,260,660
E06000054,Wiltshire,70,195,285,95,235,500
E06000055,Bedford,15,40,40,45,85,215
E06000056,Central Bedfordshire,30,50,80,50,140,320
E08000001,Bolton,25,50,40,80,195,365
E08000002,Bury,15,30,30,70,145,280
E08000003,Manchester,95,140,140,150,330,420
E08000004,Oldham,30,45,40,90,220,365
E08000005,Rochdale,30,55,40,85,215,360
E08000006,Salford,25,70,85,85,185,290
E08000007,Stockport,35,95,125,60,175,420
E08000008,Tameside,45,50,60,65,225,385
E08000009,Trafford,40,100,120,50,115,200
E08000010,Wigan,60,100,90,85,255,365
E08000011,Knowsley,30,80,70,60,180,195
E08000012,Liverpool,110,215,210,185,490,650
E08000013,St. Helens,40,105,135,45,150,205
E08000014,Sefton,105,185,240,120,340,535
E08000015,Wirral,75,190,215,135,220,420
E08000016,Barnsley,30,65,50,70,250,415
E08000017,Doncaster,35,80,90,75,330,595
E08000018,Rotherham,35,75,85,50,175,415
E08000019,Sheffield,80,205,270,120,295,660
E08000020,Gateshead,30,105,115,75,195,345
E08000021,Newcastle upon Tyne,60,115,155,90,230,365
E08000022,North Tyneside,35,95,150,55,140,260
E08000023,South Tyneside,20,45,90,55,165,335
E08000024,Sunderland,45,150,120,70,285,445
E08000025,Birmingham,190,395,485,310,505,725
E08000026,Coventry,35,60,90,70,175,330
E08000027,Dudley,45,120,125,115,215,440
E08000028,Sandwell,65,130,200,80,150,310
E08000029,Solihull,20,65,100,45,90,195
E08000030,Walsall,35,75,100,55,140,235
E08000031,Wolverhampton,50,85,100,65,180,340
E08000032,Bradford,85,155,175,150,330,670
E08000033,Calderdale,30,45,75,50,125,260
E08000034,Kirklees,50,95,120,110,215,435
E08000035,Leeds,140,265,320,160,410,870
E08000036,Wakefield,25,60,70,100,195,415
E09000002,Barking and Dagenham,15,50,85,35,75,160
E09000003,Barnet,25,80,115,70,150,280
E09000004,Bexley,15,55,105,50,80,115
E09000005,Brent,45,65,55,75,100,165
E09000006,Bromley,35,95,130,65,105,165
