"ItemBaseID","TextName","Primary_Category","Age_Category","CompSerTypeCode","TypeStayCode","N_Council_Funded_Occupancy","ONS.LA.Code","ONS.LA.Name"
"2000101","PD_1864_RES-LA_PERM","Physical Disability","18-64","Local Authority Residential Care","PERM",0,"E09000002","Barking and Dagenham"
"2000102","PD_1864_RES-IND_PERM","Physical Disability","18-64","Independent Residential Care","PERM",5,"E09000002","Barking and Dagenham"
"2000103","PD_1864_NUR_PERM","Physical Disability","18-64","Nursing Care","PERM",10,"E09000002","Barking and Dagenham"
"2000110","PD_1864_RES-LA_TEMP","Physical Disability","18-64","Local Authority Residential Care","TEMP",0,"E09000002","Barking and Dagenham"
"2000111","PD_1864_RES-IND_TEMP","Physical Disability","18-64","Independent Residential Care","TEMP",0,"E09000002","Barking and Dagenham"
"2000112","PD_1864_NUR_TEMP","Physical Disability","18-64","Nursing Care","TEMP",0,"E09000002","Barking and Dagenham"
"2000201","LD_1864_RES-LA_PERM","Learning Disability","18-64","Local Authority Residential Care","PERM",5,"E09000002","Barking and Dagenham"
"2000202","LD_1864_RES-IND_PERM","Learning Disability","18-64","Independent Residential Care","PERM",30,"E09000002","Barking and Dagenham"
"2000203","LD_1864_NUR_PERM","Learning Disability","18-64","Nursing Care","PERM",0,"E09000002","Barking and Dagenham"
"2000210","LD_1864_RES-LA_TEMP","Learning Disability","18-64","Local Authority Residential Care","TEMP",0,"E09000002","Barking and Dagenham"
"2000211","LD_1864_RES-IND_TEMP","Learning Disability","18-64","Independent Residential Care","TEMP",5,"E09000002","Barking and Dagenham"
"2000212","LD_1864_NUR_TEMP","Learning Disability","18-64","Nursing Care","TEMP",0,"E09000002","Barking and Dagenham"
"2000301","MH_1864_RES-LA_PERM","Mental Health","18-64","Local Authority Residential Care","PERM",0,"E09000002","Barking and Dagenham"
"2000302","MH_1864_RES-IND_PERM","Mental Health","18-64","Independent Residential Care","PERM",45,"E09000002","Barking and Dagenham"
"2000303","MH_1864_NUR_PERM","Mental Health","18-64","Nursing Care","PERM",0,"E09000002","Barking and Dagenham"
"2000310","MH_1864_RES-LA_TEMP","Mental Health","18-64","Local Authority Residential Care","TEMP",0,"E09000002","Barking and Dagenham"
"2000311","MH_1864_RES-IND_TEMP","Mental Health","18-64","Independent Residential Care","TEMP",0,"E09000002","Barking and Dagenham"
"2000312","MH_1864_NUR_TEMP","Mental Health","18-64","Nursing Care","TEMP",0,"E09000002","Barking and Dagenham"
"2000401","SM_1864_RES-LA_PERM","Substance Misuse","18-64","Local Authority Residential Care","PERM",0,"E09000002","Barking and Dagenham"
"2000402","SM_1864_RES-IND_PERM","Substance Misuse","18-64","Independent Residential Care","PERM",0,"E09000002","Barking and Dagenham"
"2000403","SM_1864_NUR_PERM","Substance Misuse","18-64","Nursing Care","PERM",0,"E09000002","Barking and Dagenham"
"2000410","SM_1864_RES-LA_TEMP","Substance Misuse","18-64","Local Authority Residential Care","TEMP",0,"E09000002","Barking and Dagenham"
"2000411","SM_1864_RES-IND_TEMP","Substance Misuse","18-64","Independent Residential Care","TEMP",0,"E09000002","Barking and Dagenham"
"2000412","SM_1864_NUR_TEMP","Substance Misuse","18-64","Nursing Care","TEMP",0,"E09000002","Barking and Dagenham"
"2000601","PD_1864_APL_PERM","Physical Disability","18-64","Adult Placement","PERM",0,"E09000002","Barking and Dagenham"
"2000604","PD_1864_APL_TEMP","Physical Disability","18-64","Adult Placement","TEMP",0,"E09000002","Barking and Dagenham"
"2000701","LD_1864_APL_PERM","Learning Disability","18-64","Adult Placement","PERM",5,"E09000002","Barking and Dagenham"
"2000704","LD_1864_APL_TEMP","Learning Disability","18-64","Adult Placement","TEMP",0,"E09000002","Barking and Dagenham"
"2000801","MH_1864_APL_PERM","Mental Health","18-64","Adult Placement","PERM",0,"E09000002","Barking and Dagenham"
"2000804","MH_1864_APL_TEMP","Mental Health","18-64","Adult Placement","TEMP",0,"E09000002","Barking and Dagenham"
"2000901","SM_1864_APL_PERM","Substance Misuse","18-64","Adult Placement","PERM",0,"E09000002","Barking and Dagenham"
"2000904","SM_1864_APL_TEMP","Substance Misuse","18-64","Adult Placement","TEMP",0,"E09000002","Barking and Dagenham"
"2001601","PD_1864_RES-LA_PERM","Physical Disability","18-64","Local Authority Residential Care","PERM",0,"E09000002","Barking and Dagenham"
"2001602","PD_1864_RES-IND_PERM","Physical Disability","18-64","Independent Residential Care","PERM",10,"E09000002","Barking and Dagenham"
"2001603","PD_1864_NUR_PERM","Physical Disability","18-64","Nursing Care","PERM",0,"E09000002","Barking and Dagenham"
"2001701","LD_1864_RES-LA_PERM","Learning Disability","18-64","Local Authority Residential Care","PERM",0,"E09000002","Barking and Dagenham"
"2001702","LD_1864_RES-IND_PERM","Learning Disability","18-64","Independent Residential Care","PERM",0,"E09000002","Barking and Dagenham"
"2001703","LD_1864_NUR_PERM","Learning Disability","18-64","Nursing Care","PERM",0,"E09000002","Barking and Dagenham"
"2001801","MH_1864_RES-LA_PERM","Mental Health","18-64","Local Authority Residential Care","PERM",0,"E09000002","Barking and Dagenham"
"2001802","MH_1864_RES-IND_PERM","Mental Health","18-64","Independent Residential Care","PERM",0,"E09000002","Barking and Dagenham"
"2001803","MH_1864_NUR_PERM","Mental Health","18-64","Nursing Care","PERM",0,"E09000002","Barking and Dagenham"
"2001901","SM_1864_RES-LA_PERM","Substance Misuse","18-64","Local Authority Residential Care","PERM",0,"E09000002","Barking and Dagenham"
"2001902","SM_1864_RES-IND_PERM","Substance Misuse","18-64","Independent Residential Care","PERM",0,"E09000002","Barking and Dagenham"
"2001903","SM_1864_NUR_PERM","Substance Misuse","18-64","Nursing Care","PERM",0,"E09000002","Barking and Dagenham"
"2002301","PD_1864_APL_PERM","Physical Disability","18-64","Adult Placement","PERM",0,"E09000002","Barking and Dagenham"
"2002401","LD_1864_APL_PERM","Learning Disability","18-64","Adult Placement","PERM",0,"E09000002","Barking and Dagenham"
"2002501","MH_1864_APL_PERM","Mental Health","18-64","Adult Placement","PERM",0,"E09000002","Barking and Dagenham"
"2002601","SM_1864_APL_PERM","Substance Misuse","18-64","Adult Placement","PERM",0,"E09000002","Barking and Dagenham"
"2001201","6574_RES-ALL_PERM","#N/A","65-74","Residential Care","PERM",35,"E09000002","Barking and Dagenham"
"2001202","6574_NUR_PERM","#N/A","65-74","Nursing Care","PERM",15,"E09000002","Barking and Dagenham"
"2001301","6574_RES-ALL_TEMP","#N/A","65-74","Residential Care","TEMP",0,"E09000002","Barking and Dagenham"
"2001302","6574_NUR_TEMP","#N/A","65-74","Nursing Care","TEMP",0,"E09000002","Barking and Dagenham"
"2001401","6574_APL_PERM","#N/A","65-74","Adult Placement","PERM",0,"E09000002","Barking and Dagenham"
"2001501","6574_APL_TEMP","#N/A","65-74","Adult Placement","TEMP",0,"E09000002","Barking and Dagenham"
"2001203","7584_RES-ALL_PERM","#N/A","75-84","Residential Care","PERM",75,"E09000002","Barking and Dagenham"
"2001204","7584_NUR_PERM","#N/A","75-84","Nursing Care","PERM",50,"E09000002","Barking and Dagenham"
"2001303","7584_RES-ALL_TEMP","#N/A","75-84","Residential Care","TEMP",5,"E09000002","Barking and Dagenham"
"2001304","7584_NUR_TEMP","#N/A","75-84","Nursing Care","TEMP",5,"E09000002","Barking and Dagenham"
"2001402","7584_APL_PERM","#N/A","75-84","Adult Placement","PERM",0,"E09000002","Barking and Dagenham"
"2001502","7584_APL_TEMP","#N/A","75-84","Adult Placement","TEMP",0,"E09000002","Barking and Dagenham"
"2001205","85OV_RES-ALL_PERM","#N/A","85+","Residential Care","PERM",160,"E09000002","Barking and Dagenham"
"2001206","85OV_NUR_PERM","#N/A","85+","Nursing Care","PERM",85,"E09000002","Barking and Dagenham"
"2001305","85OV_RES-ALL_TEMP","#N/A","85+","Residential Care","TEMP",5,"E09000002","Barking and Dagenham"
"2001306","85OV_NUR_TEMP","#N/A","85+","Nursing Care","TEMP",0,"E09000002","Barking and Dagenham"
"2001403","85OV_APL_PERM","#N/A","85+","Adult Placement","PERM",0,"E09000002","Barking and Dagenham"
"2001503","85OV_APL_TEMP","#N/A","85+","Adult Placement","TEMP",0,"E09000002","Barking and Dagenham"
"2000104","PD_65OV_RES-LA_PERM","Physical Disability","65+","Local Authority Residential Care","PERM",35,"E09000002","Barking and Dagenham"
"2000105","PD_65OV_RES-IND_PERM","Physical Disability","65+","Independent Residential Care","PERM",190,"E09000002","Barking and Dagenham"
"2000106","PD_65OV_NUR_PERM","Physical Disability","65+","Nursing Care","PERM",150,"E09000002","Barking and Dagenham"
"2000113","PD_65OV_RES-LA_TEMP","Physical Disability","65+","Local Authority Residential Care","TEMP",0,"E09000002","Barking and Dagenham"
"2000114","PD_65OV_RES-IND_TEMP","Physical Disability","65+","Independent Residential Care","TEMP",5,"E09000002","Barking and Dagenham"
"2000115","PD_65OV_NUR_TEMP","Physical Disability","65+","Nursing Care","TEMP",5,"E09000002","Barking and Dagenham"
"2000204","LD_65OV_RES-LA_PERM","Learning Disability","65+","Local Authority Residential Care","PERM",0,"E09000002","Barking and Dagenham"
"2000205","LD_65OV_RES-IND_PERM","Learning Disability","65+","Independent Residential Care","PERM",5,"E09000002","Barking and Dagenham"
"2000206","LD_65OV_NUR_PERM","Learning Disability","65+","Nursing Care","PERM",0,"E09000002","Barking and Dagenham"
"2000213","LD_65OV_RES-LA_TEMP","Learning Disability","65+","Local Authority Residential Care","TEMP",0,"E09000002","Barking and Dagenham"
"2000214","LD_65OV_RES-IND_TEMP","Learning Disability","65+","Independent Residential Care","TEMP",0,"E09000002","Barking and Dagenham"
"2000215","LD_65OV_NUR_TEMP","Learning Disability","65+","Nursing Care","TEMP",0,"E09000002","Barking and Dagenham"
"2000304","MH_65OV_RES-LA_PERM","Mental Health","65+","Local Authority Residential Care","PERM",0,"E09000002","Barking and Dagenham"
"2000305","MH_65OV_RES-IND_PERM","Mental Health","65+","Independent Residential Care","PERM",45,"E09000002","Barking and Dagenham"
"2000306","MH_65OV_NUR_PERM","Mental Health","65+","Nursing Care","PERM",0,"E09000002","Barking and Dagenham"
"2000313","MH_65OV_RES-LA_TEMP","Mental Health","65+","Local Authority Residential Care","TEMP",0,"E09000002","Barking and Dagenham"
"2000314","MH_65OV_RES-IND_TEMP","Mental Health","65+","Independent Residential Care","TEMP",0,"E09000002","Barking and Dagenham"
"2000315","MH_65OV_NUR_TEMP","Mental Health","65+","Nursing Care","TEMP",0,"E09000002","Barking and Dagenham"
"2000404","SM_65OV_RES-LA_PERM","Substance Misuse","65+","Local Authority Residential Care","PERM",0,"E09000002","Barking and Dagenham"
"2000405","SM_65OV_RES-IND_PERM","Substance Misuse","65+","Independent Residential Care","PERM",0,"E09000002","Barking and Dagenham"
"2000406","SM_65OV_NUR_PERM","Substance Misuse","65+","Nursing Care","PERM",0,"E09000002","Barking and Dagenham"
"2000413","SM_65OV_RES-LA_TEMP","Substance Misuse","65+","Local Authority Residential Care","TEMP",0,"E09000002","Barking and Dagenham"
"2000414","SM_65OV_RES-IND_TEMP","Substance Misuse","65+","Independent Residential Care","TEMP",0,"E09000002","Barking and Dagenham"
"2000415","SM_65OV_NUR_TEMP","Substance Misuse","65+","Nursing Care","TEMP",0,"E09000002","Barking and Dagenham"
"2000501","UK_65OV_RES-LA_PERM","Unknown","65+","Local Authority Residential Care","PERM",0,"E09000002","Barking and Dagenham"
"2000502","UK_65OV_RES-IND_PERM","Unknown","65+","Independent Residential Care","PERM",0,"E09000002","Barking and Dagenham"
"2000503","UK_65OV_NUR_PERM","Unknown","65+","Nursing Care","PERM",0,"E09000002","Barking and Dagenham"
"2000504","UK_65OV_RES-LA_TEMP","Unknown","65+","Local Authority Residential Care","TEMP",0,"E09000002","Barking and Dagenham"
"2000505","UK_65OV_RES-IND_TEMP","Unknown","65+","Independent Residential Care","TEMP",0,"E09000002","Barking and Dagenham"
"2000506","UK_65OV_NUR_TEMP","Unknown","65+","Nursing Care","TEMP",0,"E09000002","Barking and Dagenham"
"2000602","PD_65OV_APL_PERM","Physical Disability","65+","Adult Placement","PERM",0,"E09000002","Barking and Dagenham"
"2000605","PD_65OV_APL_TEMP","Physical Disability","65+","Adult Placement","TEMP",0,"E09000002","Barking and Dagenham"
"2000702","LD_65OV_APL_PERM","Learning Disability","65+","Adult Placement","PERM",0,"E09000002","Barking and Dagenham"
"2000705","LD_65OV_APL_TEMP","Learning Disability","65+","Adult Placement","TEMP",0,"E09000002","Barking and Dagenham"
"2000802","MH_65OV_APL_PERM","Mental Health","65+","Adult Placement","PERM",0,"E09000002","Barking and Dagenham"
"2000805","MH_65OV_APL_TEMP","Mental Health","65+","Adult Placement","TEMP",0,"E09000002","Barking and Dagenham"
"2000902","SM_65OV_APL_PERM","Substance Misuse","65+","Adult Placement","PERM",0,"E09000002","Barking and Dagenham"
"2000905","SM_65OV_APL_TEMP","Substance Misuse","65+","Adult Placement","TEMP",0,"E09000002","Barking and Dagenham"
"2001101","UK_65OV_APL_PERM","Unknown","65+","Adult Placement","PERM",0,"E09000002","Barking and Dagenham"
"2001102","UK_65OV_APL_TEMP","Unknown","65+","Adult Placement","TEMP",0,"E09000002","Barking and Dagenham"
"2001604","PD_65OV_RES-LA_PERM","Physical Disability","65+","Local Authority Residential Care","PERM",5,"E09000002","Barking and Dagenham"
"2001605","PD_65OV_RES-IND_PERM","Physical Disability","65+","Independent Residential Care","PERM",90,"E09000002","Barking and Dagenham"
"2001606","PD_65OV_NUR_PERM","Physical Disability","65+","Nursing Care","PERM",10,"E09000002","Barking and Dagenham"
"2001704","LD_65OV_RES-LA_PERM","Learning Disability","65+","Local Authority Residential Care","PERM",0,"E09000002","Barking and Dagenham"
"2001705","LD_65OV_RES-IND_PERM","Learning Disability","65+","Independent Residential Care","PERM",0,"E09000002","Barking and Dagenham"
