"""HSCIC.2.2NumerTotalCostResiAndNursing""","""HSCIC.2.2DenomTotalWeeksSupportedResiAndNursing""","""HSCIC.2.2UnitCostWeeklySpendPerPersonResiAndNursing""","""HSCIC.2.2ANumerTotalCostResiNursingLessIncome""","""HSCIC.2.2ADenomTotalWeeksSupportedResiNursingExcS256""","""HSCIC.2.2AUnitCostWeeklySpendPerPersonResiNursingExcS256""","""HSCIC.2.3NumerTotalCostNursing""","""HSCIC.2.3DenomTotalWeeksSupportedNursing""","""HSCIC.2.3UnitCostWeeklySpendPerPersonNursing""","""HSCIC.2.4NumerTotalCostResi""","""HSCIC.2.4DenomTotalWeeksSupportedResi""","""HSCIC.2.4UnitCostWeeklySpendPerPersonResi""","""HSCIC.2.5NumerTotalCostResiOwnProvision""","""HSCIC.2.5DenomTotalWeeksSupportedResiOwnProvision""","""HSCIC.2.5UnitCostWeeklySpendPerPersonResiOwnProvision""","""HSCIC.2.6NumerTotalCostResiProvidedByOthers""","""HSCIC.2.6DenomTotalWeeksSupportedResiProvidedByOthers""","""HSCIC.2.6UnitCostWeeklySpendPerPersonResiProvidedByOthers""","""HSCIC.2.26NumerTotalCostHomeCare""","""HSCIC.2.26DenomOlderPeopleReceivingHomeCare""","""HSCIC.2.26UnitCostWeeklySpendPerPersonHomeCare""","""HSCIC.2.44NumerTotalCostDayCare""","""HSCIC.2.44DenomAvgClientsPerWeekDayCare""","""HSCIC.2.44UnitCostWeeklySpendPerPersonDayCare""","""HSCIC.2.31NumerTotalCostDirectPayments""","""HSCIC.2.31DenomOlderPeopleReceivingDirectPayments""","""HSCIC.2.31UnitCostWeeklySpendPerPersonDirectPayments""","""HSCIC.2.34ANumerTotalCostDayCare""","""HSCIC.2.34ADenomAvgClientsPerWeekDayCare""","""HSCIC.2.34AUnitCostWeeklySpendPerPersonDayCare""","""HSCIC.2.35NumerTotalCostDayCareOwnProvision""","""HSCIC.2.35DenomAvgClientsPerWeekDayCareOwnProvision""","""HSCIC.2.35UnitCostWeeklySpendPerPersonDayCareOwnProvision""","""HSCIC.2.36NumerTotalCostDayCareProvidedByOthers""","""HSCIC.2.36DenomTotalCostDayCareProvidedByOthers""","""HSCIC.2.36UnitCostWeeklySpendPerPersonDayCareProvidedByOthers""","""HSCIC.2.56NumerTotalCostProvidingMeals""","""HSCIC.2.56DenomNumberReceivingMeals""","""HSCIC.2.56AvgWeeklySpendPerPersonMeals""","""HSCICMaster.HSCIC.Year""","""HSCICMaster.ONS.LA.Code""","""HSCICMaster.ONS.LA.Name""",HSCICMaster.Inflation
15247,26836,568.1,14946,26225,569.9,4429,6451,686.6,10817,20385,530.6,2025,1801,1124.6,8792,18584,473.1,9395,760,237.7,4492,975,88.8,1712,750,44,1135,150,143.6,415,50,159.6,720,100,135.8,0,0,NA,2011-12,E09000002,Barking and Dagenham,1
13166,23044,571.3,13166,22992,572.6,3847,7541,510.2,9319,15503,601.1,1935,1751,1105,7384,13752,536.9,9053,475,365.7,1060,105,192.2,3346,360,177.7,1060,95,210.1,238,40,111.8,821,55,282,0,0,NA,2012-13,E09000002,Barking and Dagenham,1
11974,23137,517.5,11974,22777,525.7,3995,8316,480.3,7980,14821,538.4,1501,1824,823,6479,12997,498.5,3321,345,185.1,861,105,159.2,5023,495,195.9,861,85,197,209,40,105.5,652,45,272.7,0,0,NA,2013-14,E09000002,Barking and Dagenham,1
11964.4208,23137,517.086,11964.4208,22777,525.27944,3991.804,8316,479.91576,7973.616,14821,537.96928,1499.7992,1824,822.3416,6473.8168,12997,498.1012,3318.3432,345,184.95192,860.3112,105,159.07264,5018.9816,495,195.74328,860.3112,85,196.8424,208.8328,40,105.4156,651.4784,45,272.48184,0,0,NA,2014-15,E09000002,Barking and Dagenham,-0.0008
12005.09983,23137,518.8440924,12005.09983,22777,527.0653901,4005.376134,8316,481.5474736,8000.726294,14821,539.7983756,1504.898517,1824,825.1375614,6495.827777,12997,499.7947441,3329.625567,345,185.5807565,863.2362581,105,159.613487,5036.046137,495,196.4088072,863.2362581,85,197.5116642,209.5428315,40,105.774013,653.6934266,45,273.4082783,0,0,NA,2015-16,E09000002,Barking and Dagenham,0.0034
12083.13298,23137,522.216579,12083.13298,22777,530.4913151,4031.411078,8316,484.6775322,8052.731015,14821,543.307065,1514.680358,1824,830.5009556,6538.050658,12997,503.0434099,3351.268133,345,186.7870314,868.8472938,105,160.6509746,5068.780437,495,197.6854644,868.8472938,85,198.79549,210.9048599,40,106.4615441,657.9424338,45,275.1854321,0,0,NA,2016-17,E09000002,Barking and Dagenham,0.0065
12191.88118,23137,526.9165282,12191.88118,22777,535.265737,4067.693778,8316,489.03963,8125.205594,14821,548.1968286,1528.312481,1824,837.9754642,6596.893114,12997,507.5708006,3381.429546,345,188.4681147,876.6669194,105,162.0968334,5114.399461,495,199.4646336,876.6669194,85,200.5846494,212.8030037,40,107.419698,663.8639157,45,277.662101,0,0,NA,2017-18,E09000002,Barking and Dagenham,0.009
12324.77268,23137,532.6599184,12324.77268,22777,541.1001335,4112.03164,8316,494.3701619,8213.770335,14821,554.172174,1544.971087,1824,847.1093967,6668.799249,12997,513.1033223,3418.287128,345,190.5224172,886.2225888,105,163.8636889,5170.146415,495,201.6387981,886.2225888,85,202.7710221,215.1225564,40,108.5905727,671.1000324,45,280.6886179,0,0,NA,2018-19,E09000002,Barking and Dagenham,0.0109
12476.36739,23137,539.2116354,12476.36739,22777,547.7556651,4162.60963,8316,500.4509149,8314.799711,14821,560.9884917,1563.974231,1824,857.5288423,6750.825479,12997,519.4144932,3460.33206,345,192.8658429,897.1231267,105,165.8792123,5233.739216,495,204.1189553,897.1231267,85,205.2651056,217.7685638,40,109.9262368,679.3545628,45,284.1410879,0,0,NA,2019-20,E09000002,Barking and Dagenham,0.0123
12643.55071,23137,546.4370713,12643.55071,22777,555.0955911,4218.388599,8316,507.1569572,8426.218027,14821,568.5057375,1584.931486,1824,869.0197288,6841.286541,12997,526.3746474,3506.70051,345,195.4502452,909.1445766,105,168.1019937,5303.871322,495,206.8541493,909.1445766,85,208.0156581,220.6866626,40,111.3992483,688.457914,45,287.9485784,0,0,NA,2020-21,E09000002,Barking and Dagenham,0.0134
12824.35348,23137,554.2511214,12824.35348,22777,563.033458,4278.711556,8316,514.4093017,8546.712944,14821,576.6353696,1607.596006,1824,881.4467109,6939.116938,12997,533.9018049,3556.846327,345,198.2451837,922.145344,105,170.5058522,5379.716682,495,209.8121636,922.145344,85,210.990282,223.8424819,40,112.9922576,698.3028621,45,292.0662431,0,0,NA,2021-22,E09000002,Barking and Dagenham,0.0143
13015.43635,23137,562.5094631,13015.43635,22777,571.4226565,4342.464358,8316,522.0740003,8674.058967,14821,585.2272366,1631.549187,1824,894.5802669,7042.509781,12997,541.8569418,3609.843337,345,201.1990369,935.8853096,105,173.0463894,5459.87446,495,212.9383649,935.8853096,85,214.1340372,227.1777349,40,114.6758422,708.7075748,45,296.4180301,0,0,NA,2022-23,E09000002,Barking and Dagenham,0.0149
13215.87407,23137,571.1721088,13215.87407,22777,580.2225654,4409.338309,8316,530.1139399,8807.639475,14821,594.239736,1656.675044,1824,908.356803,7150.964431,12997,550.2015387,3665.434925,345,204.2975021,950.2979434,105,175.7113038,5543.956527,495,216.2176157,950.2979434,85,217.4317013,230.676272,40,116.4418502,719.6216714,45,300.9828678,0,0,NA,2023-24,E09000002,Barking and Dagenham,0.0154
13424.68488,23137,580.1966282,13424.68488,22777,589.390082,4479.005854,8316,538.4897401,8946.800179,14821,603.6287239,1682.85051,1824,922.7088405,7263.949669,12997,558.894723,3723.348796,345,207.5254027,965.3126509,105,178.4875424,5631.55104,495,219.633854,965.3126509,85,220.8671222,234.3209571,40,118.2816314,730.9916938,45,305.7383971,0,0,NA,2024-25,E09000002,Barking and Dagenham,0.0158
13640.82231,23137,589.5377939,13640.82231,22777,598.8792623,4551.117848,8316,547.1594249,9090.843662,14821,613.3471463,1709.944403,1824,937.5644529,7380.899259,12997,567.892928,3783.294712,345,210.8665616,980.8541846,105,181.3611919,5722.219012,495,223.1699591,980.8541846,85,224.4230829,238.0935245,40,120.1859657,742.7606601,45,310.6607853,0,0,NA,2025-26,E09000002,Barking and Dagenham,0.0161
13864.53179,23137,599.2062137,13864.53179,22777,608.7008822,4625.756181,8316,556.1328395,9239.933498,14821,623.4060395,1737.987491,1824,952.9405099,7501.946007,12997,577.206372,3845.340745,345,214.3247732,996.9401932,105,184.3355154,5816.063404,495,226.8299464,996.9401932,85,228.1036214,241.9982583,40,122.1570155,754.9419349,45,315.7556222,0,0,NA,2026-27,E09000002,Barking and Dagenham,0.0164
14093.29657,23137,609.0931162,14093.29657,22777,618.7444468,4702.081158,8316,565.3090313,9392.392401,14821,633.6922392,1766.664285,1824,968.6640283,7625.728116,12997,586.7302772,3908.788868,345,217.861132,1013.389706,105,187.3770514,5912.02845,495,230.5726405,1013.389706,85,231.8673312,245.9912295,40,124.1726063,767.3984769,45,320.9655899,0,0,NA,2027-28,E09000002,Barking and Dagenham,0.0165
14328.65462,23137,619.2649713,14328.65462,22777,629.077479,4780.605913,8316,574.7496922,9549.245354,14821,644.2748996,1796.167578,1824,984.8407176,7753.077775,12997,596.5286728,3974.065642,345,221.4994129,1030.313314,105,190.5062482,6010.759325,495,234.4232036,1030.313314,85,235.7395156,250.0992831,40,126.2462888,780.2140314,45,326.3257153,0,0,NA,2028-29,E09000002,Barking and Dagenham,0.0167
14569.37602,23137,629.6686228,14569.37602,22777,639.6459807,4860.920093,8316,584.405487,9709.672676,14821,655.0987179,1826.343194,1824,1001.386042,7883.329482,12997,606.5503545,4040.829944,345,225.220603,1047.622578,105,193.7067531,6111.740082,495,238.3615134,1047.622578,85,239.6999395,254.300951,40,128.3672265,793.3216271,45,331.8079873,0,0,NA,2029-30,E09000002,Barking and Dagenham,0.0168
14814.14153,23137,640.2470556,14814.14153,22777,650.3920331,4942.58355,8316,594.2234992,9872.795177,14821,666.1043763,1857.025759,1824,1018.209327,8015.769417,12997,616.7404005,4108.715887,345,229.0043092,1065.222637,105,196.9610266,6214.417315,495,242.3659869,1065.222637,85,243.7268985,258.573207,40,130.5237959,806.6494305,45,337.3823615,0,0,NA,2030-31,E09000002,Barking and Dagenham,0.0168
