"","ONS.LA.Code","CQC.HSCA.CareHomeBeds.Sum","CQC.HSCA.CareHomeBeds.Occ90","CQC.HSCA.CareHomeBeds.Occ87"
"1","E09000002",654,588.6,568.98
"2","E09000003",2466,2219.4,2145.42
"3","E08000016",2106,1895.4,1832.22
"4","E06000022",1556,1400.4,1353.72
"5","E06000055",1279,1151.1,1112.73
"6","E09000004",1144,1029.6,995.28
"7","E08000025",5658,5092.2,4922.46
"8","E06000008",932,838.8,810.84
"9","E06000009",1503,1352.7,1307.61
"10","E08000001",1687,1518.3,1467.69
"11","E06000028",2169,1952.1,1887.03
"12","E06000036",431,387.9,374.97
"13","E08000032",4075,3667.5,3545.25
"14","E09000005",1119,1007.1,973.53
"15","E06000043",1870,1683,1626.9
"16","E06000023",2401,2160.9,2088.87
"17","E09000006",1574,1416.6,1369.38
"18","E10000002",3829,3446.1,3331.23
"19","E08000002",1513,1361.7,1316.31
"20","E08000033",1481,1332.9,1288.47
"21","E10000003",3901,3510.9,3393.87
"22","E09000007",442,397.8,384.54
"23","E06000056",1232,1108.8,1071.84
"24","E06000049",3705,3334.5,3223.35
"25","E06000050",2769,2492.1,2409.03
"26","E09000001",NA,NA,NA
"27","E06000052",4642,4177.8,4038.54
"28","E06000047",4869,4382.1,4236.03
"29","E08000026",1917,1725.3,1667.79
"30","E09000008",2132,1918.8,1854.84
"31","E10000006",5419,4877.1,4714.53
"32","E06000005",1240,1116,1078.8
"33","E06000015",2005,1804.5,1744.35
"34","E10000007",6831,6147.9,5942.97
"35","E10000008",7614,6852.6,6624.18
"36","E08000017",2202,1981.8,1915.74
"37","E10000009",4301,3870.9,3741.87
"38","E08000027",2259,2033.1,1965.33
"39","E09000009",1365,1228.5,1187.55
"40","E06000011",3988,3589.2,3469.56
"41","E10000011",7260,6534,6316.2
"42","E09000010",1645,1480.5,1431.15
"43","E10000012",11436,10292.4,9949.32
"44","E08000020",2051,1845.9,1784.37
"45","E10000013",5329,4796.1,4636.23
"46","E09000011",1086,977.4,944.82
"47","E09000012",306,275.4,266.22
"48","E06000006",746,671.4,649.02
"49","E09000013",404,363.6,351.48
"50","E10000014",11412,10270.8,9928.44
"51","E09000014",471,423.9,409.77
"52","E09000015",927,834.3,806.49
"53","E06000001",844,759.6,734.28
"54","E09000016",1568,1411.2,1364.16
"55","E06000019",1741,1566.9,1514.67
"56","E10000015",8335,7501.5,7251.45
"57","E09000017",1188,1069.2,1033.56
"58","E09000018",802,721.8,697.74
"59","E06000046",2019,1817.1,1756.53
"60","E06000053",14,12.6,12.18
"61","E09000019",493,443.7,428.91
"62","E09000020",401,360.9,348.87
"63","E10000016",12622,11359.8,10981.14
"64","E06000010",2338,2104.2,2034.06
"65","E09000021",1028,925.2,894.36
"66","E08000034",3012,2710.8,2620.44
"67","E08000011",992,892.8,863.04
"68","E09000022",788,709.2,685.56
"69","E10000017",11457,10311.3,9967.59
"70","E08000035",4762,4285.8,4142.94
"71","E06000016",2347,2112.3,2041.89
"72","E10000018",4289,3860.1,3731.43
"73","E09000023",786,707.4,683.82
"74","E10000019",7414,6672.6,6450.18
"75","E08000012",3393,3053.7,2951.91
"76","E06000032",1031,927.9,896.97
"77","E08000003",2453,2207.7,2134.11
"78","E06000035",1369,1232.1,1191.03
"79","E09000024",830,747,722.1
