"Ctyua14cd","Bng_x","Bng_y","Long","Lat"
E06000001,447486,531303,54.674564,-1.265148200
E06000002,451141,517080,54.546401,-1.210950700
E06000003,465072,519615,54.567583,-0.995071630
E06000004,445107,517922,54.554539,-1.304090400
E06000005,428631,515649,54.535309,-1.559043800
E06000006,352558,384324,53.353659,-2.714210100
E06000007,362744,389561,53.401548,-2.561808900
E06000008,369490,422631,53.699217,-2.463589500
E06000009,332237,436974,53.824598,-3.030913600
E06000010,510088,430815,53.762065,-0.331504230
E06000011,500819,443561,53.878458,-0.467880280
E06000012,523870,406043,53.536439,-0.132415980
E06000013,494399,411132,53.588282,-0.575389290
E06000014,461058,452589,53.965784,-1.070787700
E06000015,435734,335375,52.914617,-1.470040800
E06000016,458899,304594,52.635908,-1.131111600
E06000017,492992,305792,52.641911,-0.627126640
E06000018,456082,339915,52.953689,-1.166688500
E06000019,349434,246094,52.110847,-2.739794100
E06000020,367035,313845,52.721243,-2.489493200
E06000021,389438,346922,53.019489,-2.158898500
E06000022,365756,161999,51.356024,-2.493164600
E06000023,336375,171959,51.443032,-2.916849400
E06000024,340825,166719,51.396405,-2.851952500
E06000025,366723,183484,51.549258,-2.481306200
E06000026,249935,56449,50.388727,-4.112368800
E06000027,290521,61804,50.445834,-3.543256300
E06000028,411450,93910,50.744685,-1.839082900
E06000029,402431,93398,50.740187,-1.966913500
E06000030,418551,187671,51.587591,-1.733632900
E06000031,518292,300777,52.591929,-0.255184890
E06000032,508286,222559,51.891076,-0.427871200
E06000033,589880,185926,51.540287,0.736696280
E06000034,565336,181432,51.507632,0.381015250
E06000035,578747,171766,51.416729,0.569176940
E06000036,488169,167522,51.399888,-0.733964300
E06000037,449826,172095,51.445660,-1.284437200
E06000038,470226,173002,51.451656,-0.990760970
E06000039,498983,179246,51.503491,-0.575285980
E06000040,491192,176541,51.480485,-0.688200510
E06000041,476624,173734,51.457408,-0.898545900
E06000042,486408,243530,52.083391,-0.740417060
E06000043,531730,106753,50.845312,-0.130262560
E06000044,463703,100976,50.804847,-1.097330100
E06000045,442245,112883,50.913873,-1.400457000
E06000046,447632,85947,50.671247,-1.327319100
E06000047,413119,532242,54.685061,-1.798030500
E06000049,375714,363462,53.167715,-2.364736300
E06000050,350931,363145,53.163153,-2.735377700
E06000051,350227,306189,52.651136,-2.737161100
E06000052,189011,64315,50.440663,-4.972781600
E06000053,91304,11112,49.920318,-6.302160500
E06000054,405209,158341,51.324148,-1.926631400
E06000055,505721,255578,52.188322,-0.454931150
E06000056,508276,234492,51.998324,-0.424262610
E06000057,395369,600337,55.297119,-2.074479100
E08000001,368125,409873,53.584468,-2.482951000
E08000002,379658,410380,53.589602,-2.308779400
E08000003,384591,393989,53.442444,-2.233445200
E08000004,396927,406784,53.557669,-2.047860100
E08000005,389857,412326,53.607391,-2.154768000
E08000006,375708,398128,53.479310,-2.367495400
E08000007,392146,388264,53.391153,-2.119562300
E08000008,395682,397994,53.478652,-2.066529800
E08000009,375790,391390,53.418750,-2.365738900
E08000010,362136,403561,53.527337,-2.572644600
E08000011,344762,392398,53.425467,-2.832736600
E08000012,339013,388863,53.393062,-2.918556100
E08000013,353571,395992,53.458620,-2.700714300
E08000014,329511,408640,53.569610,-3.065864100
E08000015,328064,386622,53.371542,-3.082660600
E08000016,429985,403327,53.525757,-1.549167100
E08000017,459167,404513,53.533947,-1.108797100
E08000018,447542,390405,53.408326,-1.286300500
E08000019,429176,389736,53.403644,-1.562626500
E08000021,422340,569466,55.019241,-1.652142000
E08000022,430700,570705,55.029931,-1.521265600
E08000023,435729,564060,54.969886,-1.443422900
E08000024,434912,553135,54.871773,-1.457505900
E08000025,408151,288559,52.494880,-1.881372500
E08000026,432787,279689,52.414223,-1.519384200
E08000027,393191,288252,52.492136,-2.101713100
E08000028,399573,290780,52.514906,-2.007722100
E08000029,418290,281483,52.431024,-1.732421300
E08000030,401779,300804,52.605018,-1.975164700
E08000031,391463,299241,52.590900,-2.127449600
E08000032,409933,438626,53.843785,-1.850518000
E08000033,403388,424896,53.720463,-1.950136800
E08000034,413950,416223,53.642336,-1.790469400
E08000035,430048,436384,53.822865,-1.545028600
E08000036,438941,418235,53.659162,-1.412223100
E08000037,420506,559658,54.931184,-1.681522400
E09000001,532404,181306,51.515170,-0.093247656
E09000002,547681,186108,51.554533,0.128774900
E09000003,523472,191950,51.612848,-0.218166830
E09000004,549409,175840,51.461820,0.149334210
E09000005,520507,186468,51.564222,-0.262847290
E09000006,542036,165070,51.366938,0.038964070
E09000007,527753,184284,51.543002,-0.159158670
E09000008,533922,163450,51.354349,-0.078130707
E09000009,515797,181960,51.524692,-0.332248490
E09000010,531691,196197,51.649153,-0.097937244
E09000011,542377,176482,51.469399,0.048438995
E09000012,534560,185084,51.548611,-0.060753063
E09000013,523929,179214,51.498290,-0.216054010
E09000014,531279,189349,51.587710,-0.106452090
E09000015,515356,189957,51.596656,-0.335981020
E09000016,555032,186650,51.557432,0.234960640
E09000017,508166,183733,51.542140,-0.441655430
E09000018,514532,174965,51.462081,-0.352742230
E09000019,531158,184814,51.546985,-0.109888590
E09000020,525764,179843,51.503537,-0.189408810
E09000021,519508,166137,51.381711,-0.284122340
E09000022,531118,175168,51.460310,-0.114047520
E09000023,537889,174588,51.453490,-0.016871297
E09000024,526028,169507,51.410589,-0.189286850
E09000025,541567,183201,51.529978,0.039478928
E09000026,544059,189478,51.585750,0.077948595
E09000027,517721,172687,51.440953,-0.307616160
E09000028,534034,175757,51.464920,-0.071876111
E09000029,526735,163640,51.357704,-0.181218300
E09000030,536457,181371,51.514790,-0.034848961
E09000031,537327,190698,51.598392,-0.018679874
E09000032,525624,174183,51.452702,-0.193435780
E09000033,527506,180816,51.511892,-0.163972690
